element,Z,N,A,binding_energy_MeV,binding_energy_per_nucleon_MeV
H,1,0,1,0.0,0.0
H,1,1,2,2.2245662000000004,1.1122831000000002
He,2,1,3,7.71804132,2.57268044
He,2,2,4,28.2956624,7.0739156
Li,3,3,6,31.9939872,5.3323312
Li,3,4,7,39.245080699999995,5.6064400999999995
Be,4,5,9,58.1640237,6.4626693
B,5,5,10,64.750835,6.475083499999999
B,5,6,11,76.2050553,6.9277323
C,6,6,12,92.1617352,7.680144599999999
C,6,7,13,97.10804350000001,7.4698495000000005
N,7,7,14,104.6586072,7.475614800000001
N,7,8,15,115.4919045,7.6994603
O,8,8,16,127.6193152,7.9762072
O,8,9,17,131.7623947,7.750729099999999
O,8,10,18,139.8077658,7.7670981
F,9,10,19,147.8013648,7.7790192
Ne,10,10,20,160.644824,8.0322412
Ne,10,11,21,167.4059856,7.9717136
Ne,10,12,22,177.7702432,8.0804656
Na,11,12,23,186.5643528,8.1114936
Mg,12,12,24,198.25704720000004,8.260710300000001
Mg,12,13,25,205.58757,8.2235028
Mg,12,14,26,216.68064859999998,8.3338711
Al,13,14,27,224.95193909999998,8.3315533
Si,14,14,28,236.53684600000003,8.4477445
Si,14,15,29,245.0104469,8.4486361
Si,14,16,30,255.61964700000001,8.5206549
P,15,16,31,262.9161987,8.4811677
S,16,16,32,271.7801632,8.4931301
S,16,17,33,280.4218032,8.4976304
S,16,18,34,291.83895240000004,8.5834986
Cl,17,18,35,298.209765,8.520279
S,16,20,36,308.71403999999995,8.575389999999999
Ar,18,18,36,306.7167456,8.5199096
Cl,17,20,37,317.1004192,8.5702816
Ar,18,20,38,327.34266660000003,8.6142807
K,19,20,39,333.7240062,8.5570258
Ar,18,22,40,343.8103760000001,8.595259400000002
Ca,20,20,40,342.052184,8.5513046
K,19,22,41,351.6189971,8.5760731
Ca,20,22,42,361.8957132,8.6165646
Ca,20,23,43,369.82860790000007,8.600665300000001
Ca,20,24,44,380.95978360000004,8.6581769
Sc,21,24,45,387.85234500000007,8.618941000000001
Ca,20,26,46,398.7733008,8.6689848
Ti,22,24,46,398.19726579999997,8.6564623
Ti,22,25,47,407.07792750000004,8.6612325
Ti,22,26,48,418.7045856,8.7230122
Ti,22,27,49,426.8469625,8.7111625
Ti,22,28,50,437.786135,8.7557227
V,23,28,51,445.8463452,8.7420852
Cr,24,28,52,456.35171920000005,8.7759946
Cr,24,29,53,464.29114590000006,8.7602103
Cr,24,30,54,474.01022879999994,8.777967199999999
Fe,26,28,54,471.7647684,8.7363846
Mn,25,30,55,482.07635849999997,8.7650247
Fe,26,30,56,492.25995279999995,8.7903563
Fe,26,31,57,499.9061253,8.7702829
Fe,26,32,58,509.9506972,8.7922534
Ni,28,30,58,506.4596017999999,8.732062099999998
Co,27,32,59,517.3142361,8.7680379
Ni,28,32,60,526.846614,8.780776900000001
Ni,28,33,61,534.6667141,8.7650281
Ni,28,34,62,545.262441,8.7945555
Cu,29,34,63,551.3848452,8.7521404
Ni,28,36,64,561.7576768,8.7774637
Zn,30,34,64,559.0979648,8.7359057
Cu,29,36,65,569.2112855,8.7570967
Zn,30,36,66,578.135811,8.7596335
Zn,30,37,67,585.1882777999999,8.734153399999999
Zn,30,38,68,595.386376,8.755682
Ga,31,38,69,601.9960061999999,8.724579799999999
Ge,32,38,70,610.519196,8.7217028
Ga,31,40,71,618.9499549999999,8.717604999999999
Ge,32,40,72,628.6857047999999,8.7317459
Ge,32,41,73,635.46865,8.70505
Ge,32,42,74,645.6648814,8.7252011
Se,34,40,74,642.890947,8.6877155
As,33,42,75,652.56561,8.7008748
Ge,32,44,76,661.5979664,8.7052364
Se,34,42,76,662.0723356000001,8.7114781
Se,34,43,77,669.4911916,8.6946908
Se,34,44,78,679.9889615999999,8.7178072
Kr,36,42,78,675.576603,8.6612385
Br,35,44,79,686.3200524,8.6875956
Se,34,46,80,696.8651360000001,8.710814200000002
Kr,36,44,80,695.434408,8.6929301
Br,35,46,81,704.3716665,8.6959465
Kr,36,46,82,714.2753828,8.7106754
Kr,36,47,83,721.7455484999999,8.695729499999999
Kr,36,48,84,732.2655732,8.7174473
Sr,38,46,84,728.9111088,8.6775132
Rb,37,48,85,739.2825359999999,8.6974416
Kr,36,50,86,749.234537,8.7120295
Sr,38,48,86,748.9272675999999,8.7084566
Sr,38,49,87,757.3555581,8.705236300000001
Sr,38,50,88,768.4684303999999,8.732595799999999
Y,39,50,89,775.5469790000001,8.714011000000001
Zr,40,50,90,783.8972910000001,8.7099699
Zr,40,51,91,791.0916558999999,8.693314899999999
Zr,40,52,92,799.7264035999999,8.692678299999999
Mo,42,50,92,796.5112704000001,8.6577312
Nb,41,52,93,805.7691957000001,8.6641849
Zr,40,54,94,814.6793504000001,8.666801600000001
Mo,42,52,94,814.2594054000001,8.6623341
Mo,42,53,95,821.6285140000001,8.6487212
Mo,42,54,96,830.7828480000001,8.653988
Ru,44,52,96,826.503648,8.609413
Mo,42,55,97,837.6039822,8.6350926
Mo,42,56,98,846.2465717999999,8.635169099999999
Ru,44,54,98,844.7907720000001,8.620314
Ru,44,55,99,852.2626068000001,8.6087132
Ru,44,56,100,861.9359299999999,8.6193593
Ru,44,57,101,868.737966,8.601366
Ru,44,58,102,877.9576050000001,8.6074275
Pd,46,56,102,875.1894473999998,8.580288699999999
Rh,45,58,103,884.1718480999999,8.5841927
Ru,44,60,104,893.0895792,8.5873998
Pd,46,58,104,892.8242439999999,8.5848485
Pd,46,59,105,899.9183445,8.5706509
Pd,46,60,106,909.4793003999999,8.5799934
Cd,48,58,106,905.1392151999999,8.5390492
Ag,47,60,107,915.2674284000001,8.5539012
Pd,46,62,108,925.2386028000001,8.567024100000001
Cd,48,60,108,923.4021167999999,8.550019599999999
Ag,47,62,109,931.7227894999999,8.547915499999998
Pd,46,64,110,940.1879300000002,8.547163000000001
Cd,48,62,110,940.6403049999999,8.5512755
Cd,48,63,111,947.6158910999999,8.537080099999999
Cd,48,64,112,957.0098272000001,8.544730600000001
Sn,50,62,112,953.5253167999999,8.513618899999999
In,49,64,113,963.0910561000001,8.5229297
Cd,48,66,114,972.5925389999999,8.531513499999999
